gene	rep_a	rep_b	mean_expression	regulation
ENSG00524	2.4333	1.5379	1.9856	unchanged
ENSG00525	0.3864	0.3659	0.3761	unchanged
ENSG00526	5.5785	5.8507	5.7146	unchanged
ENSG00527	0.7269	1.3601	1.0435	unchanged
ENSG00528	1.3289	1.7795	1.5542	unchanged
ENSG00529	8.5996	9.9715	9.2856	unchanged
ENSG00530	3.0496	2.8037	2.9267	unchanged
ENSG00531	1.948	0.4898	1.2189	down in B
ENSG00532	15.0618	13.064	14.0629	unchanged
ENSG00533	1.0649	5.9718	3.5183	up in B
ENSG00534	1.9301	1.4457	1.6879	unchanged
ENSG00535	1.8936	2.3257	2.1097	unchanged
ENSG00536	3.3842	2.8509	3.1175	unchanged
ENSG00537	2.4319	1.9521	2.192	unchanged
ENSG00538	2.8584	2.8605	2.8595	unchanged
ENSG00539	2.2862	1.7409	2.0135	unchanged
ENSG00540	3.1823	3.2545	3.2184	unchanged
ENSG00541	2.0793	2.7238	2.4015	unchanged
ENSG00542	11.0348	11.4715	11.2531	unchanged
ENSG00543	1.4054	1.792	1.5987	unchanged
ENSG00544	1.3876	1.2534	1.3205	unchanged
ENSG00545	3.3161	2.837	3.0766	unchanged
ENSG00546	2.4278	3.5015	2.9647	unchanged
ENSG00547	10.5129	9.4365	9.9747	unchanged
ENSG00548	2.0919	1.8029	1.9474	unchanged
ENSG00549	1.2488	9.6852	5.467	up in B
ENSG00550	1.2222	1.1822	1.2022	unchanged
ENSG00551	1.3188	0.8559	1.0874	unchanged
ENSG00552	3.4188	2.9814	3.2001	unchanged
ENSG00553	0.6172	1.108	0.8626	unchanged
ENSG00554	2.292	2.466	2.379	unchanged
ENSG00555	7.5883	6.7303	7.1593	unchanged
ENSG00556	4.3545	4.3609	4.3577	unchanged
ENSG00557	1.4763	0.2454	0.8608	down in B
ENSG00558	6.6012	6.3422	6.4717	unchanged
ENSG00559	3.9485	1.874	2.9112	unchanged
ENSG00560	0.3874	0.9653	0.6764	unchanged
ENSG00561	2.577	2.2639	2.4204	unchanged
ENSG00562	0.3076	0.224	0.2658	down in B
ENSG00563	5.1408	5.8037	5.4722	unchanged
ENSG00564	8.2302	6.6357	7.433	unchanged
ENSG00565	2.6177	3.039	2.8283	unchanged
ENSG00566	2.4586	1.7559	2.1073	unchanged
ENSG00567	1.032	0.3826	0.7073	unchanged
ENSG00568	7.1292	28.476	17.8026	up in B
ENSG00569	2.4166	7.2227	4.8197	up in B
ENSG00570	4.3245	5.7971	5.0608	unchanged
ENSG00571	3.1023	2.5269	2.8146	unchanged
ENSG00572	1.2329	1.1546	1.1938	unchanged
ENSG00573	8.0824	7.5217	7.8021	unchanged
ENSG00574	2.3913	2.1027	2.247	unchanged
ENSG00575	5.6916	4.0707	4.8811	unchanged
ENSG00576	3.0682	1.2013	2.1348	down in B
ENSG00577	8.3413	9.57	8.9557	unchanged
ENSG00578	1.8701	1.0107	1.4404	unchanged
ENSG00579	0.2808	0.1442	0.2125	unchanged
ENSG00580	4.6684	4.8953	4.7819	unchanged
ENSG00581	2.5329	2.1083	2.3206	unchanged
ENSG00582	2.8382	2.5441	2.6912	unchanged
ENSG00583	0.995	0.8854	0.9402	unchanged
ENSG00584	6.1125	5.418	5.7653	unchanged
ENSG00585	0.6354	0.4139	0.5247	unchanged
ENSG00586	12.1733	11.7859	11.9796	unchanged
ENSG00587	2.5821	2.2138	2.398	unchanged
ENSG00588	1.4815	2.5996	2.0406	unchanged
ENSG00589	1.5523	1.992	1.7721	unchanged
ENSG00590	0.3954	0.4675	0.4314	unchanged
ENSG00591	2.6607	1.4836	2.0721	unchanged
ENSG00592	3.017	2.3015	2.6592	unchanged
ENSG00593	4.463	3.9742	4.2186	unchanged
ENSG00594	6.2239	5.5567	5.8903	unchanged
ENSG00595	3.4826	2.6544	3.0685	unchanged
ENSG00596	14.5209	15.9905	15.2557	unchanged
ENSG00597	1.8469	2.775	2.311	unchanged
ENSG00598	0.9524	0.794	0.8732	unchanged
ENSG00599	24.5363	25.3192	24.9277	unchanged
ENSG00600	1.775	3.6497	2.7124	unchanged
ENSG00601	2.072	0.774	1.423	down in B
ENSG00602	3.7671	3.1727	3.4699	unchanged
ENSG00603	0.9718	0.4975	0.7346	down in B
ENSG00604	17.3364	16.0401	16.6882	unchanged
ENSG00605	7.9138	8.1018	8.0078	unchanged
ENSG00606	0.6046	2.0678	1.3362	unchanged
ENSG00607	3.1486	2.4668	2.8077	unchanged
ENSG00608	3.5497	4.6198	4.0847	unchanged
ENSG00609	27.4697	24.9188	26.1942	unchanged
ENSG00610	1.0436	0.904	0.9738	unchanged
ENSG00611	0.5848	0.8507	0.7177	unchanged
ENSG00612	0.4351	0.6108	0.5229	unchanged
ENSG00613	6.1948	6.9464	6.5706	unchanged
ENSG00614	2.9721	2.1549	2.5635	unchanged
ENSG00615	1.7041	2.617	2.1605	up in B
ENSG00616	2.2558	1.9008	2.0783	unchanged
ENSG00617	4.5512	5.6232	5.0872	unchanged
ENSG00618	0.0418	0.07	0.0559	unchanged
ENSG00619	0.6481	0.7787	0.7134	unchanged
ENSG00620	6.1188	4.9016	5.5102	unchanged
ENSG00621	1.9749	2.6751	2.325	unchanged
ENSG00622	0.7706	0.8817	0.8262	unchanged
ENSG00623	2.5082	2.9021	2.7052	unchanged
ENSG00624	4.6802	4.8963	4.7882	unchanged
ENSG00625	1.8244	1.5618	1.6931	unchanged
ENSG00626	3.0754	4.2302	3.6528	unchanged
ENSG00627	3.3668	3.4843	3.4256	unchanged
ENSG00628	2.0687	2.5956	2.3322	unchanged
ENSG00629	0.1077	0.3274	0.2176	unchanged
ENSG00630	2.1692	2.3829	2.2761	unchanged
ENSG00631	1.3534	1.9621	1.6577	unchanged
ENSG00632	3.6417	4.4214	4.0315	unchanged
ENSG00633	4.0907	3.8743	3.9825	unchanged
ENSG00634	23.8145	23.0012	23.4078	unchanged
ENSG00635	1.7199	2.2003	1.9601	unchanged
ENSG00636	1.7863	1.7301	1.7582	unchanged
ENSG00637	0.4675	0.2231	0.3453	down in B
ENSG00638	6.0168	5.7566	5.8867	unchanged
ENSG00639	0.7309	0.2417	0.4863	unchanged
ENSG00640	4.6726	5.4941	5.0833	unchanged
ENSG00641	0.9639	0.956	0.96	unchanged
ENSG00642	2.7803	2.6681	2.7242	unchanged
ENSG00643	5.6939	5.705	5.6994	unchanged
ENSG00644	1.7889	0.8076	1.2983	down in B
ENSG00645	29.4225	26.4859	27.9542	unchanged
ENSG00646	6.5503	14.2662	10.4082	up in B
ENSG00647	0.4082	1.8913	1.1497	unchanged
ENSG00648	4.5018	2.8512	3.6765	unchanged
ENSG00649	23.0293	23.3179	23.1736	unchanged
ENSG00650	4.4308	4.0862	4.2585	unchanged
ENSG00651	0.9334	0.2858	0.6096	unchanged
ENSG00652	7.5145	8.0221	7.7683	unchanged
ENSG00653	0.7964	1.9611	1.3788	unchanged
ENSG00654	1.5204	0.8736	1.197	down in B
ENSG00655	8.3003	16.948	12.6242	up in B
ENSG00656	3.2877	3.7874	3.5376	unchanged
ENSG00657	0.9284	0.7342	0.8313	unchanged
ENSG00658	2.564	2.5869	2.5755	unchanged
ENSG00659	3.0559	3.3012	3.1786	unchanged
ENSG00660	5.5378	4.9673	5.2526	unchanged
ENSG00661	5.1357	4.4457	4.7907	unchanged
ENSG00662	5.3057	5.5222	5.414	unchanged
ENSG00663	4.5271	5.7314	5.1293	unchanged
ENSG00664	7.8986	7.7493	7.824	unchanged
ENSG00665	0.5445	0.4458	0.4952	down in B
ENSG00666	1.6746	1.0964	1.3855	unchanged
ENSG00667	1.4911	0.862	1.1765	unchanged
ENSG00668	1.233	2.1684	1.7007	unchanged
ENSG00669	3.9131	3.0189	3.466	unchanged
ENSG00670	11.2521	10.1641	10.7081	unchanged
ENSG00671	2.772	0.4966	1.6343	down in B
ENSG00672	8.6677	10.4494	9.5586	unchanged
ENSG00673	2.9463	3.3357	3.141	unchanged
ENSG00674	0.9158	1.1309	1.0234	unchanged
ENSG00675	7.1811	6.035	6.6081	unchanged
ENSG00676	1.0076	0.2223	0.6149	down in B
ENSG00677	12.7667	12.2283	12.4975	unchanged
ENSG00678	1.6243	2.0558	1.8401	unchanged
ENSG00679	4.9581	5.9364	5.4472	unchanged
ENSG00680	1.7839	2.1221	1.953	unchanged
ENSG00681	2.2023	3.3473	2.7748	unchanged
ENSG00682	1.5256	1.3739	1.4497	unchanged
ENSG00683	2.7769	3.0014	2.8892	unchanged
ENSG00684	3.2472	2.9423	3.0948	unchanged
ENSG00685	2.4612	2.8288	2.645	unchanged
ENSG00686	5.278	4.8922	5.0851	unchanged
ENSG00687	4.5815	4.1524	4.367	unchanged
ENSG00688	0.6977	0.1563	0.427	down in B
ENSG00689	2.7376	1.8384	2.288	unchanged
ENSG00690	1.4471	1.4535	1.4503	unchanged
ENSG00691	1.3519	0.2899	0.8209	unchanged
ENSG00692	9.0443	8.8798	8.962	unchanged
ENSG00693	2.9519	5.9873	4.4696	up in B
ENSG00694	4.7637	6.2353	5.4995	unchanged
ENSG00695	8.0289	6.3178	7.1734	unchanged
ENSG00696	5.5433	4.9454	5.2444	unchanged
ENSG00697	2.6234	3.0376	2.8305	unchanged
ENSG00698	2.2845	7.6352	4.9598	up in B
ENSG00699	3.1521	3.7903	3.4712	unchanged
ENSG00700	16.1319	16.1475	16.1397	unchanged
ENSG00701	4.7453	4.9324	4.8388	unchanged
ENSG00702	12.8813	10.4088	11.645	unchanged
ENSG00703	3.6461	3.2956	3.4708	unchanged
ENSG00704	4.7021	4.8064	4.7543	unchanged
ENSG00705	2.6671	2.2778	2.4724	unchanged
ENSG00706	2.1999	0.5925	1.3962	down in B
ENSG00707	3.8105	3.4277	3.6191	unchanged
ENSG00708	0.5109	0.5097	0.5103	unchanged
ENSG00709	5.8154	4.7135	5.2645	unchanged
ENSG00710	0.2629	1.3285	0.7957	unchanged
ENSG00711	2.8444	2.8082	2.8263	unchanged
ENSG00712	1.2682	1.2983	1.2832	unchanged
ENSG00713	0.5275	0.2407	0.3841	unchanged
ENSG00714	9.1631	10.76	9.9615	unchanged
ENSG00715	2.6812	2.1506	2.4159	unchanged
ENSG00716	14.5375	14.6738	14.6057	unchanged
ENSG00717	3.6987	3.37	3.5344	unchanged
ENSG00718	5.835	5.6066	5.7208	unchanged
ENSG00719	5.1007	5.2448	5.1727	unchanged
ENSG00720	4.9531	5.3883	5.1707	unchanged
ENSG00721	4.8659	6.2023	5.5341	unchanged
ENSG00722	4.8859	4.0697	4.4778	unchanged
ENSG00723	3.637	3.8649	3.751	unchanged
ENSG00724	4.3838	4.0903	4.237	unchanged
ENSG00725	1.5686	1.4664	1.5175	unchanged
ENSG00726	3.5615	2.9638	3.2627	unchanged
ENSG00727	3.4175	2.0425	2.73	down in B
ENSG00728	2.2143	2.6196	2.417	unchanged
ENSG00729	1.0568	1.36	1.2084	unchanged
ENSG00730	6.6688	7.6482	7.1585	unchanged
ENSG00731	0.3288	0.4356	0.3822	unchanged
ENSG00732	1.5142	1.463	1.4886	unchanged
ENSG00733	1.1219	0.4841	0.803	unchanged
ENSG00734	2.9978	2.559	2.7784	unchanged
ENSG00735	2.361	1.0929	1.7269	unchanged
ENSG00736	0.948	1.0015	0.9747	unchanged
ENSG00737	2.9698	2.4937	2.7318	unchanged
ENSG00738	10.4149	3.7218	7.0683	down in B
ENSG00739	1.2222	1.2085	1.2154	unchanged
ENSG00740	3.3891	3.7576	3.5734	unchanged
ENSG00741	0.5401	0.7081	0.6241	unchanged
ENSG00742	1.1421	1.4154	1.2787	unchanged
ENSG00743	2.8705	1.5223	2.1964	unchanged
ENSG00744	3.539	3.2731	3.406	unchanged
ENSG00745	12.4585	11.534	11.9963	unchanged
ENSG00746	3.6553	0.7427	2.199	down in B
ENSG00747	1.6284	1.6381	1.6333	unchanged
ENSG00748	17.7111	18.6346	18.1728	unchanged
ENSG00749	5.503	4.8118	5.1574	unchanged
ENSG00750	3.7037	3.3738	3.5387	unchanged
ENSG00751	1.8666	1.5688	1.7177	unchanged
ENSG00752	1.6127	1.5098	1.5612	unchanged
ENSG00753	3.1029	3.8822	3.4925	unchanged
ENSG00754	2.9906	2.7646	2.8776	unchanged
ENSG00755	0.4744	2.9432	1.7088	up in B
ENSG00756	0.3895	0.5198	0.4546	unchanged
ENSG00757	2.4155	2.4629	2.4392	unchanged
ENSG00758	4.6671	4.1146	4.3909	unchanged
ENSG00759	5.0972	4.7671	4.9322	unchanged
ENSG00760	1.3476	1.2197	1.2837	unchanged
ENSG00761	21.7845	22.8637	22.3241	unchanged
ENSG00762	2.0989	2.6653	2.3821	unchanged
ENSG00763	4.2248	4.4282	4.3265	unchanged
ENSG00764	4.7761	3.7043	4.2402	unchanged
ENSG00765	1.5259	2.4534	1.9896	unchanged
ENSG00766	1.7777	1.3035	1.5406	unchanged
ENSG00767	3.8964	3.6251	3.7607	unchanged
ENSG00768	5.848	6.8144	6.3312	unchanged
ENSG00769	1.878	1.9861	1.932	unchanged
ENSG00770	1.711	7.4278	4.5694	up in B
ENSG00771	3.7649	4.645	4.205	unchanged
ENSG00772	2.9171	14.4836	8.7003	up in B
ENSG00773	4.6516	3.4714	4.0615	unchanged
ENSG00774	0.5506	0.8139	0.6823	unchanged
ENSG00775	13.5326	13.1228	13.3277	unchanged
ENSG00776	11.3907	10.6089	10.9998	unchanged
ENSG00777	0.791	1.3113	1.0512	unchanged
ENSG00778	9.6896	8.4835	9.0866	unchanged
ENSG00779	2.4576	1.5719	2.0148	unchanged
ENSG00780	1.3325	1.2421	1.2873	unchanged
ENSG00781	0.3191	1.843	1.0811	unchanged
ENSG00782	2.4232	1.9724	2.1978	unchanged
ENSG00783	1.3621	1.8786	1.6203	unchanged
ENSG00784	8.5521	27.4399	17.996	up in B
ENSG00785	1.048	3.2074	2.1277	up in B
ENSG00786	2.2694	2.1383	2.2038	unchanged
ENSG00787	5.1748	5.807	5.4909	unchanged
ENSG00788	8.8698	9.6819	9.2758	unchanged
ENSG00789	1.7236	1.2438	1.4837	unchanged
ENSG00790	2.786	2.9939	2.89	unchanged
ENSG00791	2.2033	2.49	2.3467	unchanged
ENSG00792	5.5445	4.2646	4.9045	unchanged
ENSG00793	2.6654	3.2149	2.9402	unchanged
ENSG00794	1.6937	4.2608	2.9773	up in B
ENSG00795	2.54	2.4798	2.5099	unchanged
ENSG00796	1.3792	0.7412	1.0602	unchanged
ENSG00797	0.6237	0.5389	0.5813	unchanged
ENSG00798	5.7914	5.6099	5.7007	unchanged
ENSG00799	13.7017	13.8627	13.7822	unchanged
ENSG00800	3.0188	3.1591	3.0889	unchanged
ENSG00801	6.5829	7.0469	6.8149	unchanged
ENSG00802	10.594	10.4108	10.5024	unchanged
ENSG00803	5.7884	6.2098	5.9991	unchanged
ENSG00804	1.1725	3.4901	2.3313	up in B
ENSG00805	3.0113	2.6178	2.8146	unchanged
ENSG00806	5.6606	5.7414	5.701	unchanged
ENSG00807	5.7421	8.6665	7.2043	up in B
ENSG00808	0.1984	0.0796	0.139	unchanged
ENSG00809	5.6542	4.3789	5.0166	unchanged
ENSG00810	3.2419	1.9341	2.588	unchanged
ENSG00811	3.6064	2.9951	3.3007	unchanged
ENSG00812	3.3597	4.0628	3.7113	unchanged
ENSG00813	26.3186	25.4878	25.9032	unchanged
ENSG00814	8.3242	9.0129	8.6686	unchanged
ENSG00815	4.0652	4.1884	4.1268	unchanged
ENSG00816	6.0272	5.7877	5.9074	unchanged
ENSG00817	5.6596	6.3049	5.9823	unchanged
ENSG00818	3.8578	2.5932	3.2255	unchanged
ENSG00819	3.7847	4.7073	4.246	unchanged
ENSG00820	5.6088	10.1013	7.8551	up in B
ENSG00821	7.08	7.3516	7.2158	unchanged
ENSG00822	4.2043	3.6055	3.9049	unchanged
ENSG00823	4.9209	4.9314	4.9261	unchanged
ENSG00824	0.7444	1.4241	1.0843	unchanged
ENSG00825	2.3435	2.271	2.3073	unchanged
ENSG00826	8.3654	8.4385	8.402	unchanged
ENSG00827	1.3204	1.6729	1.4966	unchanged
ENSG00828	10.7017	10.4144	10.5581	unchanged
ENSG00829	4.6149	4.4545	4.5347	unchanged
ENSG00830	0.918	0.2485	0.5832	unchanged
ENSG00831	3.4207	3.8102	3.6154	unchanged
ENSG00832	1.828	1.5467	1.6874	unchanged
ENSG00833	3.534	2.9088	3.2214	unchanged
ENSG00834	14.3524	16.1566	15.2545	unchanged
ENSG00835	0.9843	1.5875	1.2859	unchanged
ENSG00836	2.9837	2.379	2.6814	unchanged
ENSG00837	7.0369	6.9026	6.9697	unchanged
ENSG00838	1.0654	2.2505	1.658	unchanged
ENSG00839	4.7248	2.2909	3.5078	down in B
ENSG00840	1.9284	1.5264	1.7274	unchanged
ENSG00841	1.5393	1.1533	1.3463	unchanged
ENSG00842	0.6967	1.3384	1.0176	unchanged
ENSG00843	2.1131	2.1173	2.1152	unchanged
ENSG00844	6.7732	7.4834	7.1283	unchanged
ENSG00845	1.8415	1.2047	1.5231	unchanged
ENSG00846	4.6811	5.6208	5.151	unchanged
ENSG00847	1.3118	1.2536	1.2827	unchanged
ENSG00848	4.469	4.6137	4.5414	unchanged
ENSG00849	11.0195	3.1666	7.093	down in B
ENSG00850	1.4663	2.4814	1.9738	unchanged
ENSG00851	2.9592	3.219	3.0891	unchanged
ENSG00852	0.6589	1.386	1.0225	unchanged
ENSG00853	3.7433	4.2785	4.0109	unchanged
ENSG00854	1.6083	0.6313	1.1198	down in B
ENSG00855	1.4808	1.3601	1.4204	unchanged
ENSG00856	8.0999	8.2821	8.191	unchanged
ENSG00857	1.5122	1.0402	1.2762	unchanged
ENSG00858	7.6702	8.6884	8.1793	unchanged
ENSG00859	1.1498	1.109	1.1294	unchanged
ENSG00860	0.5686	0.5836	0.5761	unchanged
ENSG00861	2.1165	2.5739	2.3452	unchanged
ENSG00862	3.1025	3.9782	3.5404	unchanged
ENSG00863	0.7928	0.6865	0.7397	unchanged
ENSG00864	6.2298	7.249	6.7394	unchanged
ENSG00865	5.893	20.5813	13.2371	up in B
ENSG00866	3.9372	3.2422	3.5897	unchanged
ENSG00867	3.6953	5.9398	4.8175	up in B
ENSG00868	4.3015	4.1897	4.2456	unchanged
ENSG00869	2.5781	2.3586	2.4683	unchanged
ENSG00870	1.9146	3.0831	2.4988	unchanged
ENSG00871	1.9393	1.5444	1.7418	unchanged
ENSG00872	4.6465	5.5541	5.1003	unchanged
ENSG00873	0.8591	0.2914	0.5753	down in B
ENSG00874	0.9543	1.135	1.0447	unchanged
ENSG00875	3.1935	2.571	2.8823	unchanged
ENSG00876	4.8182	4.0205	4.4193	unchanged
ENSG00877	9.2853	9.9461	9.6157	unchanged
ENSG00878	1.2462	0.7446	0.9954	unchanged
ENSG00879	4.6568	4.5644	4.6106	unchanged
ENSG00880	1.2946	1.5253	1.4099	unchanged
ENSG00881	1.9805	1.7813	1.8809	unchanged
ENSG00882	3.7484	4.0834	3.9159	unchanged
ENSG00883	6.2575	5.0558	5.6567	unchanged
ENSG00884	3.2843	3.9345	3.6094	unchanged
ENSG00885	5.2622	5.7458	5.504	unchanged
ENSG00886	3.8957	12.9649	8.4303	up in B
ENSG00887	0.2375	0.6872	0.4623	unchanged
ENSG00888	10.5775	9.1362	9.8568	unchanged
ENSG00889	5.4666	5.9115	5.6891	unchanged
ENSG00890	1.9847	1.9056	1.9452	unchanged
ENSG00891	4.0868	3.3078	3.6973	unchanged
ENSG00892	1.2569	1.8796	1.5683	unchanged
ENSG00893	5.9699	5.4317	5.7008	unchanged
ENSG00894	2.2429	1.8548	2.0489	unchanged
ENSG00895	6.1417	5.4174	5.7796	unchanged
ENSG00896	12.6573	15.9137	14.2855	unchanged
ENSG00897	3.1034	3.1322	3.1178	unchanged
ENSG00898	1.104	1.0383	1.0712	unchanged
ENSG00899	3.0046	2.2151	2.6099	unchanged
