cell_id	cluster	gene_01	gene_02	gene_03	gene_04	gene_05	gene_06	gene_07	gene_08	gene_09	gene_10	gene_11	gene_12	gene_13	gene_14	gene_15	gene_16	gene_17	gene_18	gene_19	gene_20	gene_21	gene_22	gene_23	gene_24	gene_25	gene_26	gene_27	gene_28	gene_29	gene_30	gene_31	gene_32	gene_33	gene_34	gene_35	gene_36	gene_37	gene_38	gene_39	gene_40	gene_41	gene_42	gene_43	gene_44	gene_45	gene_46	gene_47	gene_48	gene_49	gene_50	gene_51	gene_52	gene_53	gene_54	gene_55	gene_56	gene_57	gene_58	gene_59	gene_60
cell_0131	cluster_1	18.76	20.923	2.823	1.194	3.89	0.773	2.865	3.353	4.897	2.284	0.0	2.145	1.558	2.179	1.833	2.207	4.714	4.428	11.942	2.489	2.499	0.0	0.881	0.884	1.195	1.302	1.484	1.483	5.826	2.143	11.724	15.125	0.893	3.658	1.565	3.767	2.33	1.078	0.724	6.079	1.616	3.049	0.0	0.0	2.869	2.581	4.814	0.0	1.685	4.445	1.857	0.0	1.632	2.44	1.373	5.111	1.447	2.641	1.187	4.708
cell_0178	cluster_1	9.079	14.448	2.654	2.145	3.64	3.42	5.75	9.768	6.033	7.599	3.315	7.74	9.202	6.039	2.286	7.72	4.533	0.0	2.04	4.196	0.0	0.769	2.311	1.218	3.126	3.967	9.859	0.997	1.775	2.107	0.0	1.159	3.729	0.0	1.501	1.072	2.407	3.142	3.203	0.77	1.844	3.811	2.394	1.713	1.092	2.64	2.224	3.243	2.952	0.0	4.379	0.0	2.914	4.903	0.0	4.958	4.058	3.433	8.603	4.88
cell_0057	cluster_1	14.908	9.693	2.519	2.789	1.973	2.895	3.92	0.85	8.998	6.479	0.0	1.896	3.185	2.882	3.573	0.636	4.79	5.546	5.204	1.805	1.661	2.291	3.064	1.593	3.225	0.0	1.089	1.338	1.967	0.0	0.922	3.938	0.874	3.273	1.726	4.088	1.904	1.883	0.0	3.051	3.506	1.997	1.536	1.175	3.438	2.858	0.0	0.986	3.826	0.0	0.0	7.492	2.457	1.388	0.915	2.207	0.552	2.404	3.625	3.244
cell_0158	cluster_1	12.738	35.755	8.078	2.683	3.449	2.002	3.639	1.356	0.0	1.78	2.133	0.0	2.748	2.2	1.872	22.284	3.87	2.701	2.426	8.701	5.306	4.334	1.48	2.334	2.034	15.755	6.499	1.995	1.951	3.227	3.054	7.042	2.477	3.043	5.254	1.921	0.0	2.051	0.0	3.565	2.919	4.02	2.541	2.105	1.011	2.619	4.021	5.741	4.972	1.732	2.663	2.941	3.603	14.434	5.212	2.957	0.877	2.593	5.747	3.053
cell_0213	cluster_1	0.0	36.712	4.709	1.794	4.22	7.722	2.757	0.0	1.393	0.97	5.424	5.798	4.249	2.859	4.066	2.894	9.454	0.638	1.289	9.256	1.391	1.087	1.01	5.28	0.725	5.538	4.349	5.671	2.336	7.928	1.359	1.839	1.661	2.093	2.306	4.564	1.714	2.107	4.526	11.618	1.151	3.973	4.357	0.0	3.934	0.0	1.066	4.05	4.543	1.747	3.852	2.186	5.821	1.275	0.0	20.069	7.026	2.429	1.001	9.357
cell_0305	cluster_2	1.491	4.911	0.0	10.815	1.156	1.638	3.119	0.0	5.24	3.408	1.829	0.0	0.785	1.671	0.0	2.679	0.7	3.563	1.23	4.229	1.36	0.815	2.136	2.109	0.0	4.28	3.045	1.903	1.044	1.018	1.006	0.978	2.067	1.945	1.41	5.083	0.0	1.006	1.367	1.833	1.055	3.904	1.343	2.234	4.024	2.815	2.619	1.067	5.932	2.332	1.049	2.125	1.756	6.735	0.0	2.118	1.26	0.0	0.769	1.359
cell_0431	cluster_3	12.679	4.528	18.089	3.786	27.522	35.32	6.486	5.539	2.884	2.963	2.171	1.847	10.0	5.028	3.849	5.643	2.379	16.796	1.359	3.861	14.855	1.82	5.942	4.483	0.0	5.08	5.268	6.323	2.718	5.181	5.279	8.024	5.42	2.314	1.806	3.884	0.0	2.108	1.495	6.396	7.82	3.264	5.315	3.822	10.944	3.429	0.0	0.0	12.999	5.34	16.839	3.376	0.0	6.039	2.507	2.613	0.0	0.0	0.867	2.982
cell_0448	cluster_3	2.864	19.021	0.592	1.174	9.13	0.0	0.0	4.308	0.762	0.0	4.713	2.783	4.423	0.0	1.988	2.136	5.276	9.303	0.78	0.679	3.556	1.88	6.099	6.663	2.019	3.387	2.224	6.323	8.054	2.882	4.854	0.0	2.573	3.126	11.355	3.872	3.796	4.323	7.185	1.365	0.854	3.478	3.559	3.808	3.279	2.67	2.403	3.275	3.571	1.316	6.113	7.778	1.906	6.085	6.93	4.804	2.743	1.51	0.0	5.832
cell_0343	cluster_2	0.0	0.549	5.108	7.054	0.0	3.35	1.382	0.878	2.029	3.63	9.142	1.121	1.966	1.778	1.373	4.886	1.309	3.957	1.511	0.0	2.142	0.694	3.227	1.026	2.384	0.923	0.618	1.694	0.524	2.197	1.485	2.501	0.389	3.679	3.233	1.867	1.67	0.722	4.009	0.561	1.538	0.516	1.487	4.695	1.293	4.331	1.942	2.069	1.562	1.283	0.0	0.602	1.093	5.453	1.072	1.859	5.272	0.88	0.0	2.15
cell_0589	cluster_3	4.432	2.771	2.497	3.196	17.148	9.827	2.997	0.0	10.773	0.0	3.993	1.994	1.378	2.45	3.857	0.0	1.381	4.559	0.711	8.936	5.486	3.69	1.034	2.527	2.63	1.705	0.0	4.878	4.874	2.983	2.243	0.0	5.391	3.668	2.158	2.293	4.172	1.985	3.845	3.482	0.0	0.0	1.297	0.0	2.513	1.501	2.234	2.433	5.545	2.044	5.642	2.232	1.103	5.15	0.805	7.731	1.472	2.576	1.494	0.834
cell_0326	cluster_2	0.0	1.338	8.81	17.198	2.505	6.408	4.291	2.698	5.671	5.114	14.063	1.403	6.709	0.978	1.722	0.0	0.0	4.773	4.478	0.0	3.793	2.338	4.658	0.878	0.0	2.798	2.008	2.201	1.871	2.111	2.044	6.996	6.55	1.448	3.101	1.833	1.618	2.434	1.755	7.792	9.105	7.578	9.184	1.267	1.988	1.399	1.268	0.858	0.0	1.515	4.951	13.213	5.161	2.148	4.21	4.298	4.284	3.192	0.0	6.099
cell_0454	cluster_3	1.489	5.448	3.831	4.477	73.281	0.0	1.439	12.291	2.924	0.0	3.24	1.993	1.946	1.777	2.447	1.463	0.0	6.533	2.794	2.811	1.797	0.0	1.982	5.911	1.96	2.3	5.371	1.049	3.556	0.991	2.796	1.041	0.823	1.645	3.752	1.542	5.283	0.0	2.149	0.0	1.912	2.423	1.635	5.504	1.461	2.556	2.526	1.01	1.739	0.0	1.902	0.0	7.031	1.446	3.219	2.378	2.461	0.67	1.526	4.348
cell_0229	cluster_2	2.406	7.779	38.498	26.19	4.834	1.795	0.0	3.469	6.661	5.278	3.675	0.944	2.151	7.593	2.62	1.777	3.925	2.473	5.412	7.793	5.332	3.982	3.645	0.0	0.0	9.246	5.179	5.933	0.0	1.311	3.78	2.955	0.0	3.492	3.797	3.006	2.177	0.969	2.473	4.102	6.963	6.135	2.652	7.117	1.525	3.147	9.156	7.981	2.622	10.08	5.845	0.0	1.68	1.975	4.179	3.796	0.0	2.531	4.224	7.165
cell_0484	cluster_3	4.64	0.722	2.774	4.496	4.829	19.415	14.437	2.513	0.0	0.0	4.806	6.601	1.914	5.094	0.835	0.0	1.812	3.265	1.081	3.726	7.257	4.094	0.0	0.55	2.774	0.639	6.925	2.897	3.267	0.0	2.291	6.811	2.628	3.138	3.076	0.0	4.282	11.521	4.054	3.755	2.563	2.109	5.113	2.518	0.0	3.785	1.965	2.452	0.76	1.628	1.51	0.547	2.732	1.823	3.723	0.0	12.607	3.698	1.573	1.092
cell_0036	cluster_1	43.118	31.835	4.521	2.963	3.34	5.001	5.512	3.457	2.06	4.976	4.4	1.53	2.065	6.647	3.046	0.0	2.688	3.726	18.999	6.854	5.442	1.918	3.867	1.308	2.891	6.625	7.151	8.014	4.22	4.257	4.656	4.616	3.091	6.133	7.66	7.148	1.308	2.113	3.856	1.677	5.033	5.997	0.683	18.555	7.196	1.952	6.009	5.015	6.403	21.642	4.628	0.0	2.349	2.574	2.838	4.93	1.809	3.502	1.586	1.428
cell_0059	cluster_1	0.0	25.569	1.934	2.6	2.064	2.923	1.434	1.329	10.189	1.803	1.999	1.562	6.204	3.819	5.516	3.636	0.882	1.645	6.801	2.569	12.382	0.0	3.765	2.14	2.237	2.459	9.858	1.007	0.0	7.345	2.066	2.717	2.019	10.247	3.727	3.252	0.847	0.809	0.608	4.702	5.773	3.481	10.032	2.798	4.708	5.849	1.576	1.631	2.668	3.425	7.01	8.181	0.928	3.528	5.137	1.899	1.107	10.804	4.097	1.025
cell_0337	cluster_2	2.652	9.356	26.514	22.315	2.291	0.0	1.558	1.293	1.271	3.188	0.817	3.262	0.613	1.668	2.103	0.0	3.811	2.222	7.914	8.75	0.0	2.441	1.927	2.784	1.135	1.95	1.585	2.287	2.957	1.115	1.247	0.0	5.663	3.454	2.56	1.347	4.015	2.327	0.901	5.461	4.276	0.0	3.691	3.396	0.91	3.506	5.403	4.395	3.437	6.325	2.502	6.81	7.071	2.68	0.0	2.588	4.519	1.396	4.663	3.506
cell_0293	cluster_2	1.691	3.95	41.362	14.203	4.929	5.59	0.0	0.0	3.445	3.692	1.477	7.105	13.453	1.029	5.937	4.645	3.352	7.233	3.486	4.494	1.973	0.721	1.9	1.697	5.259	2.493	4.619	0.0	8.794	2.187	4.974	7.981	2.747	18.557	1.113	3.202	4.51	14.883	13.203	2.846	1.844	2.061	2.633	6.572	3.596	2.369	1.762	3.591	1.408	3.517	3.887	1.621	2.189	2.816	0.0	1.801	2.289	2.332	1.527	5.512
cell_0067	cluster_1	12.379	20.786	2.42	1.89	6.077	12.953	0.843	5.981	0.0	3.17	2.519	2.424	1.965	3.321	1.694	1.341	0.0	1.633	5.513	2.404	2.544	4.759	1.996	1.585	2.491	6.881	2.595	3.51	2.598	9.1	1.19	1.417	1.514	0.0	3.52	1.792	2.194	0.0	9.515	1.948	0.908	1.263	2.223	6.422	3.23	0.0	1.816	7.327	0.0	1.495	2.803	3.826	0.0	3.698	1.358	1.73	6.887	1.549	3.962	2.715
cell_0592	cluster_3	1.309	1.82	0.922	2.54	22.77	88.433	1.761	6.522	1.032	5.547	0.992	1.398	1.62	4.461	3.409	1.724	7.071	8.062	2.186	0.54	1.863	1.147	5.596	3.543	2.184	1.082	4.021	3.158	1.897	3.923	0.0	1.718	5.289	2.317	1.431	1.556	4.876	5.171	1.901	5.084	0.0	4.523	1.706	3.944	3.96	3.487	0.0	4.007	8.904	1.014	3.336	3.705	5.061	0.0	0.0	0.0	0.0	4.297	1.022	2.876
cell_0256	cluster_2	3.752	1.307	20.691	77.241	1.706	4.699	2.182	3.635	1.165	4.582	2.776	1.505	6.434	3.085	3.853	0.885	2.259	2.719	4.457	1.136	2.059	15.541	1.6	5.291	2.284	2.778	3.731	1.286	3.141	1.837	0.0	7.514	0.0	1.119	1.789	2.435	1.706	5.662	0.524	1.053	2.86	2.686	3.78	1.256	2.597	1.982	3.135	2.037	2.205	2.643	1.802	3.532	0.701	1.077	1.547	0.896	2.463	1.384	0.481	30.327
cell_0164	cluster_1	36.838	40.662	1.741	2.367	4.789	1.7	2.681	2.386	0.0	0.959	4.061	1.763	1.454	1.02	3.15	0.574	4.801	2.8	9.571	4.386	2.38	2.853	4.348	2.77	1.653	3.386	1.201	1.381	4.673	2.501	0.0	5.173	0.0	2.484	4.241	11.279	2.581	2.064	3.025	0.0	5.434	1.794	2.434	3.506	12.328	1.12	0.0	3.301	9.901	5.999	4.693	2.444	1.76	6.727	7.675	1.77	1.428	1.899	6.734	4.778
cell_0263	cluster_2	6.03	2.576	58.319	23.7	9.928	5.365	4.736	16.426	1.825	4.899	0.0	1.107	2.722	8.084	6.009	0.0	0.871	1.33	3.884	4.966	0.457	0.705	3.325	2.239	4.171	1.78	8.849	2.132	0.947	5.876	6.652	4.916	1.082	2.084	12.218	4.445	1.318	5.109	3.612	3.841	0.0	8.184	3.989	8.771	6.412	1.89	25.504	0.0	5.182	16.577	1.957	1.888	2.171	7.565	0.587	2.002	4.326	3.492	2.017	0.0
cell_0121	cluster_1	18.362	84.702	0.0	16.693	2.11	3.468	1.597	1.831	1.053	2.555	5.725	0.842	0.0	5.665	3.763	2.451	8.892	2.358	3.108	1.958	2.27	0.0	1.548	3.035	0.757	0.0	5.87	2.576	5.103	0.747	0.0	0.0	0.0	2.078	28.079	0.633	0.485	0.0	7.745	0.0	4.506	2.082	1.972	2.514	2.925	2.701	1.656	1.287	5.967	1.775	7.658	9.514	4.621	2.194	2.687	3.45	5.496	3.604	2.142	2.377
cell_0398	cluster_2	7.807	0.915	24.432	16.073	4.249	4.209	5.823	2.575	1.581	2.151	4.425	3.034	0.0	3.512	3.166	4.456	2.671	1.786	2.285	0.901	4.744	2.19	0.952	2.911	7.806	2.737	5.005	1.298	3.119	3.548	0.0	1.652	1.049	2.116	0.973	1.003	0.0	0.0	1.587	1.481	3.436	0.0	1.752	5.767	4.105	0.744	1.776	3.739	3.752	3.856	1.671	2.639	1.666	1.641	5.7	5.982	6.204	2.455	1.832	1.548
cell_0262	cluster_2	1.806	0.0	33.02	22.829	0.0	2.281	2.469	3.65	4.082	0.536	5.051	2.385	13.342	12.667	2.276	8.849	3.852	0.0	1.749	3.851	1.556	5.01	0.0	0.0	0.704	2.537	2.056	8.482	2.13	1.335	1.059	1.625	5.258	2.557	2.915	2.405	0.0	3.053	0.0	1.183	8.411	7.803	3.198	1.669	0.0	1.233	3.907	4.817	2.252	2.996	4.846	3.179	5.11	0.0	0.748	7.423	0.0	2.731	10.745	4.696
cell_0125	cluster_1	12.411	9.572	3.612	3.101	7.92	3.622	2.126	3.994	4.229	1.463	2.07	1.865	9.066	2.318	1.472	10.305	11.301	3.385	0.0	7.631	4.001	8.051	6.081	6.554	4.391	1.529	8.43	16.018	1.061	3.402	1.981	0.0	5.698	0.0	1.958	3.784	0.0	2.364	2.376	6.379	5.001	6.549	0.0	12.39	4.98	1.861	5.605	1.783	4.231	1.482	12.076	5.558	4.361	2.855	4.43	6.278	10.242	4.285	3.56	1.283
cell_0289	cluster_2	15.975	2.776	0.0	0.0	14.439	3.601	0.873	1.938	3.135	7.935	3.177	5.413	14.214	3.061	5.111	3.463	1.79	5.517	2.302	2.318	2.366	9.475	4.729	2.385	0.0	8.726	4.331	4.348	7.432	3.125	9.278	1.139	4.691	5.13	1.163	2.415	0.0	0.0	17.192	11.215	9.151	4.381	3.441	1.963	2.254	2.316	2.781	4.893	0.0	3.333	4.301	3.623	0.0	2.611	1.507	3.172	0.0	3.869	1.752	7.407
cell_0034	cluster_1	23.299	83.953	8.397	1.277	2.384	1.403	1.929	3.097	4.226	0.703	5.867	4.485	0.0	0.0	3.255	2.293	0.441	1.31	4.467	6.08	4.92	3.783	5.684	3.048	3.063	14.666	1.248	7.308	5.234	0.0	2.629	8.984	1.117	5.884	0.0	2.342	1.796	2.374	4.85	2.033	3.953	8.812	1.949	3.535	3.177	7.755	9.623	1.106	3.912	1.355	4.192	6.499	1.413	0.0	1.584	8.551	0.0	0.0	3.164	2.64
cell_0050	cluster_1	0.0	18.402	3.053	2.622	2.136	1.714	0.0	0.0	0.842	0.0	8.033	2.037	5.349	1.037	1.856	0.67	3.063	5.374	1.571	1.221	2.259	1.462	0.0	1.284	1.013	0.89	0.948	3.282	10.886	2.314	3.612	0.0	1.259	0.0	2.194	0.0	2.282	0.0	1.182	1.793	1.448	1.564	0.91	4.383	0.79	5.99	0.827	1.161	0.644	3.821	1.814	0.0	2.116	2.358	4.099	1.282	1.093	2.503	0.794	1.733
cell_0566	cluster_3	7.358	3.922	12.199	2.841	14.587	23.068	2.996	11.351	2.288	5.912	2.036	2.114	28.504	3.469	0.0	3.182	9.016	4.279	4.071	7.314	4.31	6.721	4.134	2.493	3.024	1.408	2.748	4.826	3.057	5.725	9.253	4.17	7.574	2.8	6.225	10.05	3.98	3.67	1.675	6.997	10.297	5.397	0.0	5.046	2.185	3.515	1.139	3.339	9.004	3.132	0.0	2.202	9.029	10.677	13.75	8.226	3.331	6.08	7.05	1.473
cell_0452	cluster_3	1.037	0.0	2.693	0.723	10.991	15.205	10.051	0.468	0.708	1.305	1.224	3.917	1.111	0.539	0.784	6.432	2.241	2.364	2.203	2.804	1.829	2.947	1.11	1.398	0.627	3.355	1.583	2.426	0.0	5.398	7.163	0.893	2.511	2.091	7.191	0.0	7.949	2.116	2.429	0.749	1.498	0.0	5.146	1.007	2.414	0.962	11.6	2.28	4.373	0.0	3.34	2.641	1.653	0.819	3.467	2.224	1.356	2.581	0.383	6.834
cell_0414	cluster_2	0.0	1.867	0.0	41.825	0.0	4.785	4.895	1.2	0.0	0.0	6.262	3.057	1.246	2.254	1.95	1.882	2.471	3.091	14.084	5.908	6.304	0.0	2.217	0.391	1.031	8.865	0.637	4.442	2.397	2.639	6.14	6.572	3.102	2.116	0.942	1.373	3.371	4.589	0.0	1.963	1.922	2.381	5.688	7.445	0.0	1.608	4.239	1.313	1.607	2.002	2.002	21.385	1.16	6.901	2.476	1.183	2.128	3.795	3.766	2.05
cell_0005	cluster_1	25.997	23.404	1.322	0.0	1.02	2.756	2.212	2.172	4.088	3.126	3.195	5.771	0.0	3.24	4.638	0.0	0.0	1.307	1.882	1.36	2.364	1.107	5.116	9.043	7.032	3.328	2.12	1.132	0.778	2.971	4.958	8.362	2.213	0.0	1.389	1.788	1.414	4.935	5.704	2.042	0.488	4.802	3.074	0.948	1.684	3.426	1.094	0.472	3.046	5.223	0.0	0.0	4.41	4.22	8.728	2.477	0.752	3.403	2.141	1.95
cell_0013	cluster_1	17.207	32.345	3.9	2.285	7.758	0.0	0.0	1.599	1.855	0.0	4.883	1.826	2.836	3.7	1.58	5.056	5.389	9.887	5.799	0.0	2.693	2.921	2.484	2.519	1.209	2.551	0.0	0.0	4.675	0.0	1.54	7.023	3.779	22.541	0.0	4.521	0.0	1.857	3.996	6.05	6.256	1.524	2.795	3.382	28.258	5.472	8.82	0.949	4.726	0.0	7.766	0.0	1.714	2.021	9.577	4.003	6.14	9.666	3.555	4.239
cell_0300	cluster_2	0.0	2.029	5.702	4.229	0.918	1.424	1.311	1.07	2.386	1.38	7.348	2.566	1.313	4.758	0.797	2.691	0.745	1.049	2.465	1.263	4.257	3.001	3.071	0.0	1.17	1.366	3.615	0.384	1.335	1.919	1.154	5.932	4.203	0.124	2.143	0.813	1.801	1.298	2.51	1.424	1.028	1.701	0.563	1.281	3.914	0.493	0.513	2.625	2.133	1.911	3.002	6.186	0.218	3.507	0.938	1.483	4.706	0.428	0.774	1.33
cell_0159	cluster_1	37.17	100.992	3.095	2.819	14.902	0.0	8.111	10.705	3.584	3.449	3.975	5.984	0.0	5.711	0.864	3.068	0.0	17.812	7.686	0.0	12.732	4.499	4.2	3.163	4.134	4.032	3.403	14.908	3.521	0.0	2.815	0.0	3.743	0.551	2.899	3.87	13.85	1.689	2.412	2.1	0.43	2.266	9.08	1.818	2.773	5.263	0.0	10.764	1.804	2.418	2.188	13.559	5.54	5.381	20.003	6.466	0.0	3.839	1.668	2.155
cell_0089	cluster_1	35.775	47.016	1.836	8.66	1.991	1.883	4.451	2.097	8.499	6.471	2.434	18.663	1.644	3.246	6.913	0.708	0.0	3.014	4.611	1.709	7.751	8.305	6.703	5.904	1.422	1.233	4.296	6.169	2.007	0.0	3.956	4.634	2.621	12.115	5.719	8.711	7.19	5.03	1.81	3.745	1.094	4.721	2.272	7.242	4.693	6.853	0.0	6.624	1.795	2.978	8.627	0.0	1.931	3.366	7.89	5.7	4.807	0.0	0.0	2.534
cell_0561	cluster_3	6.134	0.46	2.513	3.583	11.552	10.586	2.697	4.724	1.04	0.0	1.706	2.83	2.291	1.693	2.159	0.739	1.838	1.657	3.16	0.84	2.706	0.0	1.034	1.557	11.293	0.0	1.69	0.54	0.0	6.252	1.312	2.613	0.0	1.376	3.822	2.482	2.09	4.542	0.0	0.972	1.623	4.418	2.47	2.199	3.84	2.568	0.0	1.805	1.153	1.933	0.648	2.228	1.082	5.066	1.489	0.451	4.57	1.381	2.333	2.671
cell_0017	cluster_1	6.136	29.983	1.928	3.801	3.309	5.081	0.549	0.835	0.76	1.066	7.329	0.0	4.647	2.457	0.629	1.955	3.423	1.115	10.403	1.478	1.162	7.576	6.791	0.987	3.878	6.163	0.889	4.217	2.031	1.853	2.618	1.54	4.79	0.759	3.122	2.773	4.416	1.041	1.261	4.586	1.349	0.393	4.729	7.404	3.031	1.874	2.89	2.076	0.0	1.247	1.523	2.73	3.377	2.999	1.348	1.629	3.208	1.542	1.506	8.624
cell_0490	cluster_3	2.216	4.606	1.567	4.076	46.26	17.252	6.305	11.274	1.149	1.716	0.0	2.192	1.667	1.678	4.036	1.47	1.728	2.53	1.004	0.0	4.178	3.512	3.534	0.725	1.389	0.0	9.056	5.11	1.936	8.513	2.949	1.242	2.708	1.145	3.081	1.809	3.776	4.339	9.919	1.302	2.332	0.0	4.328	3.196	1.476	2.637	0.72	1.114	1.517	1.158	1.081	4.823	1.717	1.159	2.348	1.821	3.506	2.603	1.907	3.74
cell_0351	cluster_2	2.005	0.768	44.959	35.127	1.484	1.405	3.087	4.284	1.611	8.966	2.547	1.247	1.491	3.133	0.0	4.221	2.286	1.657	5.882	1.788	0.927	0.665	0.945	3.102	2.592	3.76	1.738	3.841	1.157	0.985	5.159	1.959	0.0	2.369	0.718	0.0	0.738	0.0	2.426	5.066	6.263	2.237	2.669	0.0	2.882	0.0	3.218	1.015	0.0	4.421	1.213	3.327	0.663	4.567	0.912	3.158	1.116	4.905	0.0	5.283
cell_0384	cluster_2	3.728	2.708	62.404	1.606	8.906	1.315	4.922	1.423	3.183	1.919	4.159	7.82	4.392	5.174	0.0	3.084	4.767	1.079	0.0	7.361	11.665	1.433	1.142	1.108	2.879	1.44	0.683	1.717	0.889	1.848	1.314	3.338	7.94	0.0	1.373	0.826	1.45	3.141	0.0	1.785	5.151	0.96	1.875	0.0	0.422	1.54	0.0	0.761	3.782	0.0	1.016	1.053	1.945	2.568	1.765	2.733	0.0	3.513	0.807	0.687
cell_0345	cluster_2	2.044	1.459	10.24	22.289	5.842	2.584	1.775	0.715	0.0	4.354	6.185	3.25	2.346	2.04	3.689	2.535	4.872	4.559	2.118	0.0	6.638	2.898	2.1	1.333	1.366	0.917	2.809	1.967	0.946	6.384	1.908	0.95	3.244	0.0	1.024	1.424	2.205	0.712	1.71	2.131	1.859	0.0	0.575	12.408	4.092	1.252	1.815	0.519	0.936	4.541	14.939	0.0	1.629	6.685	0.693	0.0	2.289	1.162	3.082	3.116
cell_0392	cluster_2	4.483	9.603	20.142	0.0	2.919	6.087	8.144	5.328	2.164	1.296	6.258	2.9	2.093	3.352	20.942	4.872	4.05	9.937	5.624	6.014	1.944	0.0	3.771	5.073	21.29	4.871	7.654	7.647	5.204	6.763	0.0	9.099	2.629	7.896	3.882	9.735	1.914	4.372	3.576	12.016	4.536	2.478	1.267	1.078	8.711	0.0	1.109	3.131	7.548	4.229	15.073	5.734	6.262	1.329	9.356	5.605	0.0	27.46	6.112	8.91
cell_0318	cluster_2	0.0	4.945	99.787	57.294	2.643	2.261	6.569	4.764	1.481	3.753	6.768	4.966	5.445	4.531	5.984	0.0	4.264	0.0	3.065	2.415	3.36	2.814	2.519	4.952	4.876	5.087	2.669	7.45	15.956	1.916	6.029	8.383	4.427	8.874	6.44	7.444	3.582	4.925	3.698	4.656	4.927	4.445	4.978	8.904	1.12	9.065	6.686	4.319	2.73	1.798	11.31	8.26	3.57	6.367	4.429	7.121	1.741	2.347	6.809	2.363
cell_0088	cluster_1	6.935	9.193	0.0	1.824	3.559	1.8	0.886	1.814	4.446	1.783	3.881	0.802	1.87	1.373	9.265	4.698	3.214	0.0	2.123	1.659	2.24	3.133	1.461	1.763	2.361	1.375	0.0	1.635	5.387	1.977	1.906	0.0	3.05	3.673	0.9	1.896	0.0	1.537	5.749	1.584	0.0	2.693	0.886	3.507	1.07	5.098	2.147	3.834	0.851	1.017	0.0	3.124	0.889	2.38	2.915	3.902	1.099	1.1	2.926	1.546
cell_0581	cluster_3	3.089	1.703	7.012	1.0	42.882	21.952	6.403	21.354	2.669	4.366	4.39	6.148	2.475	1.454	5.616	2.754	19.818	0.0	2.119	5.075	4.972	2.153	4.376	3.128	6.42	2.818	1.295	2.406	4.68	2.631	2.613	2.02	2.003	6.795	5.458	0.0	1.724	3.245	2.244	2.972	2.25	1.53	2.547	9.449	0.0	3.164	10.082	4.098	1.315	0.0	2.179	1.441	1.391	2.486	1.416	3.164	13.19	2.078	7.442	6.013
cell_0588	cluster_3	4.775	0.544	0.49	3.784	4.389	19.069	1.802	3.152	1.398	1.287	1.694	1.93	2.255	1.265	1.591	5.047	2.52	4.891	4.296	8.359	1.801	0.664	2.301	1.712	0.472	1.866	4.762	1.633	4.844	1.997	0.992	1.064	2.214	3.601	2.335	0.0	1.321	2.734	2.997	0.946	0.848	5.574	6.244	0.0	0.517	0.648	1.634	0.0	3.066	1.324	5.158	5.146	2.437	1.194	0.0	0.571	5.588	1.167	0.693	1.949
cell_0220	cluster_1	13.777	16.608	0.0	6.559	4.0	0.97	1.038	1.03	0.0	2.831	1.306	0.0	0.886	1.422	3.061	1.782	0.0	1.066	0.0	6.699	1.372	5.919	2.949	0.0	2.333	6.867	1.51	3.66	9.662	3.749	3.527	0.766	3.981	0.0	3.154	2.987	1.0	8.074	3.565	2.202	5.183	5.718	1.038	1.66	3.035	4.512	6.07	2.043	6.068	1.312	1.787	10.328	1.921	6.641	2.245	0.516	1.067	2.96	1.739	0.0
cell_0516	cluster_3	0.679	4.335	3.912	2.478	19.928	13.715	2.657	0.0	0.929	0.0	2.845	0.356	2.766	1.619	2.739	5.236	3.008	0.672	1.65	1.694	0.0	1.602	2.958	1.883	6.829	3.138	3.68	2.89	0.681	2.294	1.013	0.0	1.486	1.212	0.75	1.816	0.0	1.129	0.413	2.268	1.358	18.488	1.888	1.424	6.231	1.65	2.374	5.625	0.0	2.849	0.679	3.005	0.0	1.63	3.617	3.565	0.0	1.074	0.0	1.965
cell_0153	cluster_1	32.184	42.235	0.0	6.7	6.011	0.0	3.441	3.145	1.086	0.0	6.652	2.573	1.369	15.689	11.041	3.381	6.843	0.0	0.0	2.975	0.0	4.307	7.433	3.765	5.26	4.667	0.0	9.706	0.0	5.02	13.021	7.863	0.0	32.085	0.873	6.238	5.689	4.579	2.988	3.363	1.67	1.911	2.042	3.586	5.379	5.776	6.198	2.327	1.46	3.331	11.357	0.92	5.658	2.857	0.0	7.363	32.215	0.0	0.0	1.688
cell_0486	cluster_3	1.736	1.822	1.998	1.977	6.184	30.23	0.0	3.472	1.225	0.762	10.389	0.925	6.883	2.678	5.451	9.155	3.141	1.939	7.21	4.778	1.311	0.0	12.031	0.0	2.463	2.328	3.628	12.845	3.129	1.518	9.295	1.486	1.251	7.252	6.754	6.496	1.089	2.434	19.593	10.786	0.844	1.498	4.72	1.3	0.0	2.201	1.755	1.898	2.821	1.689	2.413	2.821	1.094	1.422	8.59	1.068	0.0	4.798	2.59	2.185
cell_0053	cluster_1	50.723	111.648	1.006	3.967	0.0	1.255	2.79	0.0	0.0	4.857	0.0	3.709	5.49	1.123	2.317	3.828	1.222	6.855	0.933	1.638	1.527	5.657	5.621	2.09	1.867	5.716	2.663	1.684	0.0	6.713	0.757	4.277	0.0	2.956	1.955	6.059	3.252	0.0	0.0	1.553	0.404	4.756	2.911	1.416	2.642	1.892	0.0	0.0	4.008	3.77	1.32	2.523	0.921	2.646	0.0	1.331	3.689	0.514	4.141	5.072
